2015Rank Boys Births
1 Noah 19511
2 Liam 18281
3 Mason 16535
4 Jacob 15816
5 William 15809
6 Ethan 14991
7 James 14705
8 Alexander 14460
9 Michael 14321
10 Benjamin 13608
11 Elijah 13511
12 Daniel 13408
13 Aiden 13378
14 Logan 12862
15 Matthew 12648
16 Lucas 12246
17 Jackson 12182
18 David 11691
19 Oliver 11592
20 Jayden 11475
21 Joseph 11375
22 Gabriel 10782
23 Samuel 10733
24 Carter 10727
25 Anthony 10564
26 John 10303
27 Dylan 10232
28 Luke 10219
29 Henry 10112
30 Andrew 10027
31 Isaac 9878
32 Christopher 9742
33 Joshua 9720
34 Wyatt 9597
35 Sebastian 9569
36 Owen 9549
37 Caleb 8727
38 Nathan 8530
39 Ryan 8474
40 Jack 8456
41 Hunter 8284
42 Levi 8236
43 Christian 8127
44 Jaxon 8015
45 Julian 8003
46 Landon 7896
47 Grayson 7852
48 Jonathan 7577
49 Isaiah 7528
50 Charles 7125
51 Thomas 7123
52 Aaron 7113
53 Eli 7087
54 Connor 6729
55 Jeremiah 6724
56 Cameron 6713
57 Josiah 6605
58 Adrian 6489
59 Colton 6270
60 Jordan 6254
61 Brayden 6220
62 Nicholas 6194
63 Robert 6076
64 Angel 6059
65 Hudson 6008
66 Lincoln 5959
67 Evan 5863
68 Dominic 5811
69 Austin 5767
70 Gavin 5741
71 Nolan 5713
72 Parker 5383
73 Adam 5360
74 Chase 5340
75 Jace 5311
76 Ian 5288
77 Cooper 5238
78 Easton 5199
79 Kevin 5157
80 Jose 5146
81 Tyler 5131
82 Brandon 5085
83 Asher 5059
84 Jaxson 5028
85 Mateo 4987
86 Jason 4968
87 Ayden 4862
88 Zachary 4809
89 Carson 4723
90 Xavier 4605
91 Leo 4561
92 Ezra 4299
93 Bentley 4287
94 Sawyer 4245
95 Kayden 4216
96 Blake 4211
97 Nathaniel 4176
98 Ryder 4130
99 Theodore 4111
100 Elias 4062
101 Tristan 3885
102 Roman 3862
103 Leonardo 3810
104 Camden 3750
105 Brody 3723
106 Luis 3718
107 Miles 3701
108 Micah 3700
109 Vincent 3697
110 Justin 3693
111 Greyson 3578
112 Declan 3560
113 Maxwell 3519
114 Juan 3510
115 Cole 3475
116 Damian 3474
117 Carlos 3400
118 Max 3398
119 Harrison 3316
120 Weston 3305
121 Brantley 3282
122 Braxton 3278
123 Axel 3229
124 Diego 3218
125 Abel 3216
126 Wesley 3213
127 Santiago 3202
128 Jesus 3166
129 Silas 3153
130 Giovanni 3118
131 Bryce 3114
132 Jayce 3105
133 Bryson 3088
134 Alex 3085
135 Everett 3032
136 George 3032
137 Eric 3028
138 Ivan 3028
139 Emmett 3026
140 Kaiden 3006
141 Ashton 2998
142 Kingston 2929
143 Jonah 2882
144 Jameson 2838
145 Kai 2819
146 Maddox 2772
147 Timothy 2763
148 Ezekiel 2755
149 Ryker 2738
150 Emmanuel 2723
151 Hayden 2712
152 Antonio 2708
153 Bennett 2690
154 Steven 2689
155 Richard 2659
156 Jude 2636
157 Luca 2593
158 Edward 2587
159 Joel 2583
160 Victor 2555
161 Miguel 2552
162 Malachi 2543
